Statistical profiling result from isolate-0x62d8be0-4902-v8.log, (19355 ticks, 12872 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  JS: ^tryFile node:internal/modules/cjs/loader:446:17
      1    0.0%    0.0%  JS: ^touch /var/www/html/kwaku/fatou/yellow/node_modules/express-session/session/session.js:47:56
      1    0.0%    0.0%  JS: ^toString /var/www/html/kwaku/fatou/yellow/node_modules/uid-safe/index.js:102:19
      1    0.0%    0.0%  JS: ^size /var/www/html/kwaku/fatou/yellow/node_modules/denque/index.js:96:38
      1    0.0%    0.0%  JS: ^setCookie /var/www/html/kwaku/fatou/yellow/node_modules/csurf/index.js:245:20
      1    0.0%    0.0%  JS: ^set maxAge /var/www/html/kwaku/fatou/yellow/node_modules/express-session/session/cookie.js:83:13
      1    0.0%    0.0%  JS: ^sendFile /var/www/html/kwaku/fatou/yellow/node_modules/send/index.js:712:51
      1    0.0%    0.0%  JS: ^resolveExports node:internal/modules/cjs/loader:536:24
      1    0.0%    0.0%  JS: ^resOnFinish node:_http_server:972:21
      1    0.0%    0.0%  JS: ^require node:internal/modules/helpers:128:31
      1    0.0%    0.0%  JS: ^reportModuleToWatchMode node:internal/modules/cjs/loader:204:33
      1    0.0%    0.0%  JS: ^render /var/www/html/kwaku/fatou/yellow/node_modules/express/lib/application.js:548:29
      1    0.0%    0.0%  JS: ^remove node:internal/linkedlist:16:16
      1    0.0%    0.0%  JS: ^realpathSync node:fs:2606:22
      1    0.0%    0.0%  JS: ^qstring /var/www/html/kwaku/fatou/yellow/node_modules/content-type/index.js:203:18
      1    0.0%    0.0%  JS: ^pushAsyncContext node:internal/async_hooks:539:26
      1    0.0%    0.0%  JS: ^popAsyncContext node:internal/async_hooks:553:25
      1    0.0%    0.0%  JS: ^pipe /var/www/html/kwaku/fatou/yellow/node_modules/send/index.js:506:43
      1    0.0%    0.0%  JS: ^parseUnsignedNumber /var/www/html/kwaku/fatou/yellow/node_modules/mysql/lib/protocol/Parser.js:122:68
      1    0.0%    0.0%  JS: ^onEofChunk node:internal/streams/readable:564:20
      1    0.0%    0.0%  JS: ^needFinish node:internal/streams/writable:662:20
      1    0.0%    0.0%  JS: ^m /var/www/html/kwaku/fatou/yellow/node_modules/@faker-js/faker/dist/cjs/utils/merge-locales.js:1:491
      1    0.0%    0.0%  JS: ^listenerCount node:events:842:23
      1    0.0%    0.0%  JS: ^isUint8Array node:internal/util/types:13:22
      1    0.0%    0.0%  JS: ^isFileType node:fs:206:20
      1    0.0%    0.0%  JS: ^isEnabled node:internal/process/permission:16:12
      1    0.0%    0.0%  JS: ^isEmpty node:internal/fixed_queue:95:10
      1    0.0%    0.0%  JS: ^insert node:internal/timers:361:16
      1    0.0%    0.0%  JS: ^hash /var/www/html/kwaku/fatou/yellow/node_modules/express-session/index.js:596:14
      1    0.0%    0.0%  JS: ^handleWriteReq node:internal/stream_base_commons:45:24
      1    0.0%    0.0%  JS: ^handleCache /var/www/html/kwaku/fatou/yellow/node_modules/ejs/lib/ejs.js:210:21
      1    0.0%    0.0%  JS: ^handle /var/www/html/kwaku/fatou/yellow/node_modules/express/lib/router/index.js:136:31
      1    0.0%    0.0%  JS: ^handle /var/www/html/kwaku/fatou/yellow/node_modules/express/lib/application.js:165:29
      1    0.0%    0.0%  JS: ^getSecretBag /var/www/html/kwaku/fatou/yellow/node_modules/csurf/index.js:221:23
      1    0.0%    0.0%  JS: ^getResetSeconds /var/www/html/kwaku/fatou/yellow/node_modules/express-rate-limit/dist/index.cjs:30:23
      1    0.0%    0.0%  JS: ^getOptionValue node:internal/options:44:24
      1    0.0%    0.0%  JS: ^getIncludePath /var/www/html/kwaku/fatou/yellow/node_modules/ejs/lib/ejs.js:156:24
      1    0.0%    0.0%  JS: ^getConnection /var/www/html/kwaku/fatou/yellow/node_modules/mysql2/lib/pool.js:41:16
      1    0.0%    0.0%  JS: ^get node:net:2300:6
      1    0.0%    0.0%  JS: ^get node:_http_outgoing:194:6
      1    0.0%    0.0%  JS: ^get node:_http_incoming:112:16
      1    0.0%    0.0%  JS: ^get /var/www/html/kwaku/fatou/yellow/node_modules/mysql2/lib/packets/column_definition.js:262:18
      1    0.0%    0.0%  JS: ^get /var/www/html/kwaku/fatou/yellow/node_modules/express-mysql-session/node_modules/debug/src/common.js:125:9
      1    0.0%    0.0%  JS: ^expressInit /var/www/html/kwaku/fatou/yellow/node_modules/express/lib/middleware/init.js:29:30
      1    0.0%    0.0%  JS: ^endReadable node:internal/streams/readable:1359:21
